event,age,probs
W350,-1333,0
W350,-1323,0
W350,-1313,0
W350,-1303,0
W350,-1293,0
W350,-1283,0
W350,-1273,0
W350,-1263,0
W350,-1253,0
W350,-1243,0
W350,-1233,0
W350,-1223,0
W350,-1213,0
W350,-1203,0
W350,-1193,0
W350,-1183,0
W350,-1173,7.44E-11
W350,-1163,2.65E-09
W350,-1153,1.89E-07
W350,-1143,3.79E-06
W350,-1133,3.84E-05
W350,-1123,6.05E-05
W350,-1113,7.66E-05
W350,-1103,1.00E-04
W350,-1093,1.59E-04
W350,-1083,3.91E-04
W350,-1073,9.52E-04
W350,-1063,2.63E-03
W350,-1053,6.51E-03
W350,-1043,1.26E-02
W350,-1033,2.08E-02
W350,-1023,3.46E-02
W350,-1013,5.44E-02
W350,-1003,8.09E-02
W350,-993,0.1261
W350,-983,0.1843
W350,-973,0.2107
W350,-963,0.1567
W350,-953,7.72E-02
W350,-943,2.53E-02
W350,-933,3.82E-03
W350,-923,7.82E-04
W350,-913,3.08E-04
W350,-903,2.25E-04
W350,-893,2.14E-04
W350,-883,1.84E-04
W350,-873,6.74E-05
W350,-863,1.19E-05
W350,-853,1.27E-06
W350,-843,2.29E-07
W350,-833,4.92E-09
W350,-823,3.99E-12
W350,-813,0
W350,-803,0
W350,-793,0
W350,-783,0
W350,-773,0
W350,-763,0
W350,-753,0
W350,-743,0
W350,-733,0
W350,-723,0
W350,-713,0
W350,-703,0
W350,-693,0
W350,-683,0
W350,-673,0
W350,-663,0
W350,-653,0
W350,-643,0
W350,-633,0
W380,-1133,0
W380,-1123,0
W380,-1113,0
W380,-1103,0
W380,-1093,0
W380,-1083,0
W380,-1073,0
W380,-1063,0
W380,-1053,0
W380,-1043,1.18E-10
W380,-1033,4.34E-10
W380,-1023,1.49E-09
W380,-1013,4.95E-09
W380,-1003,1.19E-08
W380,-993,5.14E-08
W380,-983,3.75E-07
W380,-973,8.29E-06
W380,-963,6.03E-05
W380,-953,2.40E-04
W380,-943,6.87E-04
W380,-933,1.64E-03
W380,-923,2.59E-03
W380,-913,3.02E-03
W380,-903,3.35E-03
W380,-893,3.78E-03
W380,-883,4.24E-03
W380,-873,6.70E-03
W380,-863,2.71E-02
W380,-853,7.31E-02
W380,-843,0.1069
W380,-833,0.1165
W380,-823,0.1164
W380,-813,0.1108
W380,-803,0.1059
W380,-793,0.1011
W380,-783,9.16E-02
W380,-773,6.62E-02
W380,-763,3.47E-02
W380,-753,1.53E-02
W380,-743,5.23E-03
W380,-733,1.69E-03
W380,-723,7.08E-04
W380,-713,2.55E-04
W380,-703,8.78E-05
W380,-693,2.76E-05
W380,-683,1.41E-05
W380,-673,1.86E-06
W380,-663,3.02E-07
W380,-653,9.63E-09
W380,-643,9.66E-12
W380,-633,0
W380,-623,0
W380,-613,0
W380,-603,0
W380,-593,0
W380,-583,0
W380,-573,0
W380,-563,0
W380,-553,0
W380,-543,0
W380,-533,0
W390,-953,0
W390,-943,6.42E-10
W390,-933,1.63E-08
W390,-923,6.78E-08
W390,-913,1.89E-07
W390,-903,4.81E-07
W390,-893,1.89E-06
W390,-883,2.24E-05
W390,-873,1.62E-04
W390,-863,4.20E-04
W390,-853,8.39E-04
W390,-843,1.89E-03
W390,-833,4.00E-03
W390,-823,5.74E-03
W390,-813,8.50E-03
W390,-803,1.15E-02
W390,-793,1.40E-02
W390,-783,1.71E-02
W390,-773,2.49E-02
W390,-763,5.11E-02
W390,-753,8.97E-02
W390,-743,0.1147
W390,-733,0.1217
W390,-723,0.111
W390,-713,0.103
W390,-703,9.49E-02
W390,-693,8.47E-02
W390,-683,6.47E-02
W390,-673,4.13E-02
W390,-663,2.11E-02
W390,-653,8.30E-03
W390,-643,3.03E-03
W390,-633,1.14E-03
W390,-623,3.98E-04
W390,-613,1.26E-04
W390,-603,6.31E-05
W390,-593,2.58E-05
W390,-583,4.65E-06
